Time (milliseconds),ax,ay,az,light,mx,my,mz,sound,temp
68515,-152,848,-544,63,-34.35,-127.8,-72.3,11,28
68550,-96,880,-532,62,-35.55,-127.05,-75,26,28
68699,-120,848,-516,51,-35.1,-127.35,-75,30,28
68860,-172,900,-528,46,-35.7,-127.8,-73.5,22,28
68894,-68,864,-512,42,-36.3,-127.2,-72.15,41,28
69045,-48,832,-600,52,-37.8,-127.05,-72.45,45,28
69206,-60,884,-544,50,-37.8,-127.65,-70.95,26,28
69238,20,980,-620,57,-36.6,-126.15,-69.9,18,28
69390,-148,888,-548,63,-35.4,-128.25,-78.9,18,28
69438,-352,760,-660,66,-30.3,-129.45,-82.95,33,28
69598,-316,772,-528,62,-30.9,-130.05,-82.95,63,28
69638,-196,784,-676,62,-28.65,-129.9,-81.15,45,28
69805,-216,840,-596,62,-28.2,-127.5,-72.45,56,28
69966,-272,684,-740,50,-48,-114.3,-221.85,86,28
70001,-280,1040,-560,50,-2.7,-105.9,-204.15,52,28
70150,8,368,-824,76,-30.45,-105.45,-21.9,33,28
70588,20,952,-608,82,-17.7,-76.2,-7.8,105,28
70642,-472,684,-528,74,-4.5,-73.65,-5.85,18,28
70796,-544,448,-496,72,-2.85,-78.45,-8.55,15,28
70858,52,820,-848,81,-11.25,-79.35,-2.7,30,28
71026,-124,804,-860,88,-15.45,-77.55,0.9,37,28
71257,172,928,-552,84,-19.5,-63.6,0.3,82,28
71302,-92,808,-404,85,-7.8,-57.45,4.65,93,28
71464,-280,700,-536,71,-2.1,-52.05,-5.85,18,28
71625,-224,1380,-1968,76,-7.05,-52.35,4.95,7,28
71658,-456,944,-384,74,1.05,-49.5,4.05,22,28
71809,-368,568,-1140,82,7.95,-43.5,11.25,71,28
71971,292,1168,-740,70,-8.25,-47.85,14.25,45,28
72022,56,728,-572,77,-9.45,-46.05,19.35,7,28
72180,-364,504,-1156,82,0,-43.8,13.65,26,28
72270,-612,20,4,77,5.1,-42.45,0.9,63,28
72431,-604,172,-996,69,28.65,-34.35,-9.45,82,28
72593,-656,572,-1300,48,37.5,-24.15,-27.45,60,28
72646,-556,584,-916,84,32.1,-27,3.6,33,28
72800,-720,592,-1020,84,36.6,-20.55,-3.9,37,28
72961,-920,352,920,48,48.6,4.35,-35.4,108,28
72994,-684,176,360,50,76.8,10.8,-17.1,90,28
73146,-832,1732,-644,0,122.1,26.55,7.35,63,28
73353,-256,516,-776,0,95.7,-39.9,30.75,41,28
73390,-504,-348,-992,12,101.25,-46.95,28.65,60,28
73537,-444,564,-648,17,100.5,-59.4,26.4,37,28
73699,-540,624,-784,36,96.6,-46.2,17.85,30,28
73730,-416,508,-624,41,87.6,-53.1,3.15,30,28
73883,-492,692,-676,36,88.65,-58.8,1.35,30,28
74090,-780,996,-728,40,82.35,-66,18.15,41,28
74144,-564,528,-636,47,80.25,-73.35,18.45,18,28
74298,-656,824,-676,43,79.05,-75.6,17.7,22,28
74459,-532,96,-588,1,91.95,-72.45,14.55,37,28
74494,2040,-1812,-516,16,73.35,-92.1,51,93,28
74643,-428,932,-324,3,24,-119.55,71.55,45,28
74804,-164,844,-200,0,-25.35,-134.25,92.55,67,28
74838,-16,1280,-308,0,87.45,-89.1,111.6,45,28
74989,308,836,-328,0,15,-108.9,139.5,105,28
75150,164,772,-496,0,-5.1,-126.45,67.5,37,28
75182,88,836,-912,8,-5.1,-117.9,88.65,30,28
75334,604,628,-1404,0,13.65,-133.65,69.9,78,28
75496,1216,908,-1032,0,5.85,-108.45,113.7,75,28
75530,-404,876,-912,9,14.7,-80.4,137.4,33,28
75680,1008,-844,-544,31,11.85,-85.95,102.6,75,28
75841,-132,512,-88,75,27.6,-67.05,93.6,120,28
75876,-408,344,-1116,65,-24,-81.45,-31.8,48,28
76026,-48,-88,4,86,75.9,-57.3,-231.3,93,28
76187,-272,452,-920,65,181.05,126.15,-366,41,28
76226,-912,804,-664,0,199.95,129.45,-363,45,28
76394,-812,480,-596,23,214.35,136.8,-335.55,15,28
76426,-724,0,-964,0,184.95,139.5,-375.15,90,28
76579,-564,-388,-588,0,102.9,118.95,-367.65,131,28
76642,-56,200,-936,52,-28.5,-1.2,-63.3,101,28
76809,-32,460,-856,52,-2.55,-85.35,-64.65,71,28
76874,-164,632,-464,0,34.2,-46.8,-363.15,105,28
77039,316,1056,-1016,0,92.7,-34.5,-254.85,45,28
77409,-88,1184,-48,0,178.2,58.65,149.1,52,28
77458,260,432,-824,0,80.7,79.05,194.25,15,28
77615,-56,-120,-1024,0,55.8,-27,151.95,33,28
77666,524,424,-924,0,78.75,-27.45,128.4,33,28
77825,-472,944,-212,0,106.35,25.05,128.7,75,28
77984,-120,216,-996,0,108.75,-55.2,48.45,71,28
78018,-84,-340,-240,0,91.35,-30.15,90.6,90,28
78168,-624,-200,-384,0,77.1,0.15,98.1,191,28
78330,-1380,508,-212,0,21.9,-81.75,0.6,82,28
78362,-248,704,-1208,0,23.85,-82.5,45.6,71,28
78514,24,-28,-832,0,4.05,-52.35,12.9,142,28
78698,-108,428,-356,22,24.75,-34.35,15.9,78,28
78746,120,12,476,21,12.9,-29.85,37.35,108,28
78906,176,520,-492,12,10.5,-37.5,25.5,63,28
79067,-672,1852,-548,0,4.35,-50.7,12.75,11,28
79098,204,764,12,0,0.45,-50.7,19.05,45,28
79251,68,732,-688,0,-6.15,-54.6,19.95,48,28
79436,20,984,-36,0,-0.3,-51.15,5.55,150,28
79486,640,2040,976,0,12.3,-55.5,6.3,180,28
79643,124,620,-384,0,8.55,-57,7.5,71,28
79720,316,332,-436,0,-6.75,-70.2,7.5,123,28
79873,76,112,-1152,0,-3,-46.95,11.1,123,28
80035,-220,260,-1008,24,33,-7.2,53.4,146,28
80066,-480,-96,-1312,64,12.45,5.4,57,135,28
80219,616,148,-880,0,-7.35,-13.95,52.35,142,28
80270,156,228,-1220,0,-10.2,-14.1,53.85,101,28
80426,-232,532,-1192,0,-2.55,-14.4,48.6,18,28
80518,-56,408,-688,0,7.5,-8.1,46.8,15,28
80680,-180,300,-820,0,8.55,-4.65,46.8,26,28
80933,-248,416,-960,209,13.05,-16.2,33.45,26,28
80974,-288,540,-928,23,10.95,-21.75,33.45,11,28
81140,-192,376,-768,0,15.45,-25.35,22.65,7,28
81302,-20,1124,-664,0,0.3,-39.15,16.2,45,28
81334,100,1108,-492,0,-8.85,-46.2,13.65,41,28
81486,336,1276,-256,0,5.55,-40.05,-7.5,18,28
81650,-500,824,-72,0,33.15,-15.9,5.4,82,28
81694,-432,484,-728,0,13.35,-14.1,45,18,28
81855,-208,712,-556,0,14.85,-7.05,45.9,26,28
81894,-248,460,-332,15,25.2,-5.25,35.1,30,28
82062,-744,848,-368,0,35.4,-7.65,14.1,48,28
82292,-504,516,-648,0,31.35,-3.75,29.7,41,28
82338,-780,892,-544,0,32.85,-6.45,20.85,45,28
82500,-972,724,-252,0,42.75,9.6,8.85,11,28
82562,340,-920,1008,0,38.4,15.45,28.95,22,28
82730,-260,480,-1008,0,19.2,10.65,53.55,41,28
82762,-396,356,-800,3,14.25,15.15,57.9,37,28
82915,-320,280,-1188,0,16.35,19.8,57.9,71,28
82998,-928,384,-284,0,47.25,27.75,20.55,56,28
83145,-744,28,-536,0,51.3,33.9,8.4,108,28
83306,-932,96,-576,0,47.55,42,11.7,41,28
83338,-972,416,-620,0,48,34.5,22.8,30,28
83491,-732,-4,-480,0,51.9,30.75,9.45,41,28
83652,-828,340,-268,0,49.8,36.15,15.9,142,28
83702,-380,-88,-376,0,45.3,36.45,27.6,187,28
83859,-688,140,-680,43,37.5,55.95,22.2,135,28
84020,-436,276,-404,0,28.2,59.4,29.85,33,28
84054,-516,156,-540,0,35.85,40.95,26.25,37,28
84205,-732,416,-392,0,35.1,34.5,30.45,48,28
84366,-152,444,-740,0,33.75,34.2,31.95,71,28
84398,-708,800,-88,0,39.15,-1.95,4.95,90,28
84550,-560,580,-132,0,40.35,2.4,-13.35,22,28
84630,-884,764,-56,0,40.35,6,-14.25,18,28
84781,-248,488,344,0,40.05,4.05,-10.5,22,28
84965,-520,816,-236,0,36.3,-9.3,9.15,30,28
85002,-208,888,-268,0,26.25,-23.25,22.05,48,28
85150,16,872,-1336,0,-9.6,-12,67.5,52,28
85313,-52,340,-584,0,-4.8,15.75,74.1,63,28
85342,-408,816,-548,0,22.65,-10.95,46.05,75,28
85495,-272,836,-480,0,39.15,-19.8,1.8,30,28
85656,84,1240,-192,0,-6.45,-55.35,27.3,48,28
85710,280,1160,-44,0,-32.85,-70.65,14.55,45,28
85864,480,912,-16,0,-6.3,-66.9,20.7,37,28
86025,-60,1192,-40,0,-11.7,-71.7,24.15,60,28
86058,52,1004,224,0,0.6,-72.45,15.45,45,28
86210,16,1104,500,0,8.7,-71.1,-6.15,63,28
86371,244,1144,260,0,7.8,-70.95,-12,30,28
86423,12,932,388,0,7.2,-69.3,-7.65,30,28
86578,96,524,-340,0,-1.95,-69.15,16.95,75,28
86670,-40,1260,-32,0,-1.65,-47.7,54.45,52,28
86831,-80,1092,-188,0,9.45,-51.45,29.7,37,28
86993,40,1056,16,0,21,-39.45,27.15,37,28
87026,-252,1084,20,0,13.8,-32.85,41.85,33,28
87177,68,676,-484,0,4.8,-28.2,47.4,41,28
87242,-20,788,-384,0,-7.8,-24.6,60.3,26,28
87407,-52,1056,-376,0,-15.3,-28.05,59.55,33,28
87474,-40,1056,-388,0,-10.2,-16.5,63.9,33,28
87638,-12,744,-244,0,-3.15,-5.25,66.45,37,28
87706,-72,1084,-364,0,-16.05,-4.65,71.7,22,28
87868,-56,1436,-264,0,-12,-26.7,56.25,30,28
88030,68,1424,-400,0,-10.95,-28.8,45.3,41,28
88062,-276,1116,156,0,-12.75,-19.2,48.75,45,28
88214,200,692,-336,0,-11.1,-17.55,50.25,52,28
88905,1160,-148,-312,0,-83.55,53.4,13.35,33,28
88958,764,-444,-400,0,-78.15,60.45,18.9,45,28
89112,612,-336,-432,0,-76.05,59.7,24,60,28
89274,768,-456,-628,0,-69.9,63.6,27.9,37,28
89306,692,-480,-568,0,-61.35,66.3,27.45,45,28
89461,420,-520,-776,0,-52.2,64.65,35.4,67,28
89642,396,-484,-532,0,-42.45,70.65,31.8,52,28
89674,392,-564,-592,0,-36,69.45,34.8,67,28
89827,136,-560,-1412,0,-29.55,62.4,42.3,48,28
89988,-204,-680,-884,0,-25.35,66.15,42,60,28
90022,772,-508,-600,0,-44.7,74.7,34.8,48,28
90172,476,-296,-136,0,-53.55,85.5,17.25,41,28
90334,-548,-876,-676,0,-57.45,90,5.25,52,28
90366,652,-1764,-332,13,-46.95,93.3,7.65,63,28
90518,-740,-128,248,64,-25.65,92.4,12.75,45,28
90610,332,-896,256,82,-18,81.75,31.95,30,28
90771,-396,-608,-548,97,-6,67.05,42.75,48,28
90933,-384,-932,-632,93,1.95,65.85,38.85,37,28
90982,1656,-2040,-1168,89,9,67.2,33.15,93,28
91140,-740,-560,-340,85,13.5,66.75,27.75,56,28
91301,-444,-372,-196,0,1.95,82.95,17.1,33,28
91337,-484,-576,56,0,-23.85,85.5,31.8,41,28
91486,44,-952,-716,0,-24.6,79.8,39.45,33,28
91647,-56,-784,-664,0,-24.9,76.5,44.7,82,28
91698,-68,-816,-520,0,-23.25,74.55,45.75,67,28
91854,-12,-660,-836,0,-19.2,68.85,49.65,63,28
91942,0,-524,-616,0,-11.55,68.7,45.3,52,28
92108,-104,-492,-716,0,-8.85,68.1,45,93,28
92269,-24,-756,-940,0,-12.6,67.95,47.55,82,28
92322,-316,-704,-660,0,-11.7,68.1,48,52,28
92476,-332,-716,-632,0,-13.5,68.4,46.05,67,28
92638,-128,-428,-172,29,-16.8,67.65,46.95,52,28
92670,500,-668,-60,78,-31.65,80.4,35.85,56,28
92822,-40,48,-1280,71,-27.45,65.25,51,45,28
92983,420,540,-1088,95,-26.1,59.25,55.65,45,28
93034,-228,144,-1356,96,-22.2,64.65,53.55,45,28
93193,356,-376,-588,94,-15.75,52.95,58.5,67,28
93352,364,-388,-1156,52,-41.1,68.25,55.5,52,28
93390,232,-196,-936,69,-37.95,69.9,52.8,41,28
93536,916,-1016,-1392,94,-27.45,69.3,51.75,30,28
93743,164,-568,-388,91,-28.8,77.4,42.3,63,28
93794,440,-500,-1012,88,-35.4,72.6,47.25,48,28
93951,-180,-152,-828,93,-25.05,61.35,55.65,48,28
94112,588,-420,-936,92,-19.35,54.75,58.5,41,28
94146,-700,804,-904,97,-15,48.6,61.95,45,28
94296,1132,56,-140,78,-7.8,41.4,60.9,48,28
94458,-36,-20,-976,70,-4.8,42.75,58.2,41,28
94498,268,-504,-696,81,-6.15,43.5,58.35,37,28
94665,-16,-52,-1124,74,1.2,36.9,57.9,37,28
94698,-436,256,-624,67,7.05,29.85,56.1,67,28
94849,-164,312,-1216,62,1.5,17.85,62.55,60,28
95013,-52,404,-824,41,-3.75,3.3,64.95,48,28
95062,-116,532,-632,27,-9.75,8.1,68.85,56,28
95218,-56,452,-844,7,-12,1.65,68.7,52,28
95310,112,392,-644,25,-6.6,-0.15,67.05,52,28
95472,8,288,-976,24,-9.6,4.2,68.85,56,28
95562,336,188,-740,0,-3.6,20.55,68.25,63,28
95725,-116,436,-1128,0,-2.4,24.45,68.85,71,28
95810,184,416,-608,0,-7.5,41.25,67.5,67,28
95978,96,432,-1964,0,-24.6,24.9,73.2,60,28
96042,856,192,-268,0,-72,49.05,61.5,86,28
96209,588,-8,-420,0,-87,45,54.15,93,28
96274,536,608,-764,22,-99.75,17.7,53.25,60,28
96439,840,628,-924,66,-93.6,22.8,58.05,67,28
96600,412,448,-376,89,-87.6,37.35,56.85,82,28
96634,468,296,-1164,91,-86.1,35.55,56.55,71,28
96785,-100,-164,-592,97,-63.9,64.5,49.5,63,28
96946,200,-200,-728,97,-47.4,78.75,39.9,33,28
96986,560,-372,-428,87,-40.5,89.4,27.6,45,28
97153,-300,-644,-780,81,-30,92.1,19.8,45,28
97186,-936,-636,-852,59,-24.45,97.8,-0.75,52,28
97338,168,-988,-1116,34,-38.1,98.7,-8.4,48,28
97499,472,-1028,-984,70,-63,96.75,14.1,48,28
97530,-260,-828,-300,77,-55.95,98.1,19.2,60,28
97683,116,72,520,74,-37.95,100.05,25.2,41,28
97844,280,-248,-1476,95,-66.75,74.25,59.85,48,28
97878,268,-288,-1372,96,-59.4,79.2,54.6,56,28
98029,212,-380,-756,82,-42,91.2,36.45,48,28
98078,-876,-40,-324,80,-34.65,94.65,29.85,63,28
98236,772,-600,-700,88,-51.75,95.85,33.3,60,28
98310,532,64,-1784,81,-78.6,56.85,65.7,45,28
98467,180,256,-1540,74,-75.6,49.05,72.9,56,28
98560,56,504,-676,65,-76.65,44.7,76.05,67,28
98720,512,328,-740,74,-85.95,46.8,70.5,93,28
98806,780,68,-736,77,-96.3,53.25,59.85,75,28
98974,912,-160,-904,79,-100.8,55.05,55.35,82,28
99135,-196,372,-312,98,-73.2,76.95,54.45,63,28
99167,236,-296,-1272,98,-63,83.25,51.75,75,28
99319,152,-384,-720,97,-62.55,85.35,46.05,71,28
99480,12,-208,-604,97,-55.35,87.45,41.4,75,28
99665,536,44,-652,98,-52.05,74.85,57,75,28
99718,-264,228,-128,82,-56.4,62.25,67.05,56,28
99872,856,324,-1596,48,-72.75,48.9,79.05,52,28
99922,868,540,-1032,23,-86.85,40.8,77.25,52,28
100080,660,444,-464,35,-94.8,41.25,69.75,75,28
100122,396,344,-552,32,-95.4,42.6,64.65,75,28
100287,648,380,-996,41,-96,44.85,61.05,48,28
100336,628,268,-632,60,-88.8,47.4,61.2,45,28
100494,580,168,-536,65,-84,52.5,62.7,41,28
100586,760,256,-660,73,-81.75,44.25,67.2,48,28
100748,560,372,-1236,65,-77.85,40.2,71.85,48,28
100806,424,332,-964,86,-61.95,38.85,78.45,37,28
100955,-156,284,-920,92,-44.85,40.65,80.55,41,28
101030,220,324,-1080,84,-33.3,37.8,80.55,56,28
101185,-24,304,-996,77,-25.2,38.55,79.2,26,28
101347,-88,344,-968,74,-19.5,36.9,77.55,48,28
101378,-104,308,-768,68,-15,38.55,74.7,56,28
101531,-256,268,-888,62,-9.3,39.6,73.65,60,28
101692,-168,124,-1036,57,-2.85,47.7,68.4,33,28
101726,-716,164,-740,54,0.75,49.05,68.4,33,28
101877,-552,308,-1168,56,-1.35,46.05,72.75,45,28
101926,-68,148,-1256,60,-6.3,43.65,70.8,48,28
102084,-32,212,-1060,73,-13.35,45.9,69.3,56,28
102245,-684,120,-192,82,-15.6,59.85,60.3,41,28
102278,912,248,-1704,58,-36.45,43.2,71.25,33,28
102430,568,296,-688,45,-48.6,38.7,73.35,56,28
102591,-340,428,-624,40,-29.85,45.6,63.75,41,28
102622,452,52,-892,34,-31.95,40.65,63.75,67,28
102775,272,424,-784,0,-45.6,33.3,63.75,37,28
102936,584,252,-1004,0,-47.55,28.65,69.6,56,28
102970,360,324,-852,0,-40.05,32.7,67.05,52,28
103121,20,616,-684,0,-44.25,37.05,60.45,48,28
103282,232,484,-796,0,-22.2,39.9,45.3,67,28
103314,-432,1104,-1308,0,-4.05,26.85,33.75,63,28
103466,308,756,-1264,0,-3.75,74.85,-66.6,67,28
103558,272,472,-1304,0,-117.3,24.3,-146.25,56,28
103720,-212,92,-1180,0,-83.55,6.6,-246.75,63,28
103806,-108,112,-1368,0,-67.2,-29.7,-194.55,75,28
103975,1076,-692,112,0,-66.3,-58.35,-154.5,60,28
104227,204,-168,-800,0,-43.2,-74.25,-17.7,75,28
104262,220,248,108,0,-20.25,-85.2,24.9,101,28
104411,-168,448,-976,0,-20.55,-84.9,19.8,18,28
104490,-28,452,-816,0,-25.95,-82.95,31.05,26,28
104641,152,1044,176,0,-46.65,-116.85,3.45,86,28
104895,-60,1868,-576,0,-92.25,-151.35,-126,142,28
104934,196,1192,-628,0,43.5,-197.7,-148.95,105,28
105102,44,736,-20,0,23.85,-203.1,-155.85,101,28
105134,80,1672,-40,0,70.65,-205.65,-167.4,71,28
105286,-600,80,272,0,81,-200.55,-173.25,71,28
105494,356,-412,-452,0,1.5,-210.75,-86.1,172,28
105526,-2040,-988,-92,0,17.1,-217.05,-40.95,75,28
105678,1192,2040,-108,0,-10.65,-234.15,-53.7,112,28
105746,956,2040,40,0,-45.75,-230.25,-9.6,138,28
105911,-152,696,-1972,0,-9.15,-192,35.25,71,28
106070,800,688,-376,0,-46.35,-167.55,33.45,101,28
106110,932,508,-988,0,3,-152.55,26.4,108,28
106278,488,436,-308,0,4.65,-129.9,36.45,75,28
106310,832,288,-684,0,-18,-129.6,31.2,56,28
106462,620,808,-636,0,-34.05,-128.55,25.05,41,28
106623,556,828,-232,0,-5.85,-144.15,21.6,165,28
106654,68,1244,-1136,0,28.65,-145.95,39.6,108,28
106807,292,1008,-536,0,51,-147.45,29.7,41,28
106968,588,684,-20,0,39,-147,32.55,97,28
107002,432,808,112,0,13.05,-169.2,45.45,52,28
107153,548,672,324,0,12,-158.25,66.6,56,28
107202,652,1148,248,0,-0.45,-150.45,70.95,67,28
107360,560,836,316,0,6,-165.9,83.55,60,28
107442,388,688,332,0,14.4,-170.85,111.45,60,28
107590,372,900,280,0,12.3,-167.4,119.1,41,28
107685,580,956,260,0,10.5,-168,126.3,45,28
107844,1412,524,-12,0,-0.15,-170.85,138.75,48,28
108028,536,996,260,0,-13.95,-165.15,111.6,97,28
108062,520,1232,80,0,-13.2,-153.75,80.7,82,28
108213,176,620,708,0,10.65,-151.65,58.65,75,28
108374,340,868,216,0,31.95,-149.4,59.55,101,28
108406,412,836,264,0,35.85,-175.2,121.2,75,28
108558,412,916,60,0,9,-168,111.3,86,28
108719,596,1148,420,0,-26.55,-166.05,90.6,105,28
108770,2040,2040,-1180,0,71.4,-115.2,87.6,127,28
108927,1004,308,-720,0,-25.2,-89.85,28.35,135,28
108974,632,1816,-60,0,43.5,-135.15,-136.5,105,28
109134,-40,540,-952,0,-8.1,-174.45,-88.95,60,28
109365,-104,60,852,0,15.45,-127.8,-15.45,127,28
109418,-72,528,624,0,1.05,-182.7,-124.35,153,28
109574,-1020,304,-600,0,-82.35,-164.25,-111.9,93,28
109733,624,704,496,0,-19.2,-167.1,-93.6,37,28
109766,496,1004,292,0,-18.6,-166.2,-91.35,52,28
109918,356,960,88,0,-22.8,-171.9,-117.75,71,28
110447,740,844,24,0,-21.3,-164.4,-91.95,41,28
110498,736,648,-340,0,-7.8,-153.75,-94.35,67,28
110655,640,740,-316,0,-13.05,-151.2,-91.35,56,28
110714,748,756,-704,0,-5.55,-157.5,-107.1,48,28
110862,656,632,52,0,17.25,-151.35,-93.15,48,28
111093,324,744,-364,0,17.7,-163.35,-111.9,60,28
111142,676,772,-296,0,18.45,-172.35,-108.45,63,28
111300,404,812,100,0,7.8,-176.1,-102,105,28
111390,584,868,120,0,-30.9,-161.7,-42.9,45,28
111553,592,920,-12,0,-30.6,-155.4,-32.85,101,28
111784,636,856,-96,0,-40.2,-161.1,-39.3,56,28
111836,684,804,4,0,-41.7,-156.3,-37.05,41,28
111991,696,768,0,0,-48.75,-152.4,-41.1,71,28
112070,896,612,68,0,-35.25,-150.6,-74.7,78,28
112222,724,788,44,0,-43.8,-151.95,-84,56,28
112383,692,708,108,0,-57.45,-156,-79.95,86,28
112414,644,804,144,0,-61.8,-158.4,-73.35,67,28
112567,904,828,356,0,-72,-162.75,-83.25,90,28
112728,2040,2040,-1152,0,-38.55,-134.25,15.45,75,28
112762,412,1008,-80,0,-37.65,-120.6,21,78,28
112913,68,952,632,0,-33.3,-137.25,-15.9,82,28
113235,376,1164,252,0,-42,-148.65,-44.7,82,28
113274,436,1316,260,0,-46.5,-142.35,-32.4,90,28
113443,340,1148,132,0,-46.65,-135.6,-11.25,86,28
113474,264,984,72,0,-54.75,-126.9,-1.95,97,28
113627,428,916,-36,0,-61.8,-121.35,4.5,112,28
113685,460,900,-36,0,-57.6,-113.4,19.35,82,28
113834,884,984,-396,0,-61.65,-106.05,21.6,67,28
113926,452,1040,-92,0,-51.6,-124.95,-12,105,28
114088,196,680,144,0,-40.5,-134.7,-22.65,93,28
114174,200,964,84,0,-45.75,-140.1,-5.4,105,28
114341,264,1184,4,0,-48,-145.35,-17.7,60,28
114595,248,964,104,0,-52.5,-148.8,-28.8,63,28
114638,224,1036,144,0,-53.85,-149.1,-32.4,60,28
114802,284,1036,184,0,-55.65,-149.4,-33.75,75,28
114894,340,1080,240,0,-65.7,-146.55,-34.8,45,28
115056,320,1012,216,0,-62.1,-148.8,-35.7,63,28
115102,156,952,312,0,-56.55,-151.2,-36.75,30,28
115263,268,1020,308,0,-50.7,-151.65,-36,67,28
115334,292,988,288,0,-57.3,-149.55,-31.5,52,28
115493,260,968,288,0,-55.35,-151.95,-28.2,75,28
115655,304,2036,712,0,-59.7,-149.7,-30.45,33,28
115688,416,1040,240,0,-57.75,-160.95,-56.55,60,28
115839,244,1048,96,0,-54.15,-178.05,-88.65,48,28
116000,300,992,180,0,-44.4,-196.95,-161.1,71,28
116034,452,996,200,0,-40.65,-189.15,-193.35,67,28
116184,340,1028,-92,0,-34.35,-171.75,-184.2,71,28
116346,264,1024,96,0,7.8,-132.15,-216.15,67,28
116378,480,948,-72,0,22.05,-108.15,-235.5,63,28
116530,424,984,32,0,21.75,-110.7,-239.7,60,28
116578,444,936,188,0,28.5,-111.6,-222,60,28
116738,488,948,472,0,9.15,-129.45,-256.5,75,28
116802,1944,1184,492,0,-63.6,-185.25,-144.9,108,28
116968,-336,816,240,0,-94.2,-164.7,-184.95,97,28
117221,132,1232,180,0,-111.6,-150.6,-160.2,33,28
117258,320,476,104,0,-102.9,-148.5,-148.65,52,28
117406,524,864,180,0,-115.95,-108.6,-95.25,60,28
117569,-540,400,-612,0,-83.7,-62.4,-53.4,52,28
117606,-24,864,-404,0,-99.75,-69.6,-55.2,52,28
117774,-100,944,-28,0,-127.35,-64.35,-78.75,52,28
117866,68,752,616,0,-116.25,-70.35,-87.6,142,28
118028,136,1276,-580,0,-129.15,-88.35,-137.25,90,28
118098,524,688,-32,0,-73.5,-150.3,-283.35,153,28
118258,252,1784,1020,0,-112.95,-117.3,-315.3,30,28
118465,-856,-1056,360,0,-95.85,-92.7,-519.3,48,28
118502,164,992,104,0,-57.6,-98.85,-522.75,41,28
118650,-184,1060,544,0,21.6,-121.95,-475.35,60,28
118811,852,600,104,0,79.05,-111.9,-386.4,67,28
118862,568,940,448,0,98.85,-118.5,-425.85,90,28
119018,328,720,668,0,75.9,-155.55,-452.7,71,28
119180,-72,832,384,0,53.1,-136.05,-460.65,52,28
119231,344,732,136,0,51.15,-141.3,-406.5,45,28
119389,204,916,-252,0,24.6,-136.95,-423.6,60,28
119548,600,1004,148,0,1.5,-130.05,-473.1,90,28
119582,284,1060,-520,0,-7.5,30,-602.55,90,28
119733,400,1408,96,0,42,99.15,-525,45,28
119894,-88,892,424,0,57.3,87.9,-538.8,56,28
119926,448,764,472,0,12.75,150.15,-514.95,56,28
120078,144,728,372,0,20.25,182.25,-472.8,78,28
120170,464,716,680,0,98.25,143.85,-521.25,41,28
120332,292,476,888,0,98.4,124.35,-509.25,48,28
120585,388,708,520,0,114.3,76.2,-496.35,63,28
120626,420,592,540,0,108.45,25.5,-523.5,41,28
120792,424,1048,300,0,82.35,-45.75,-514.2,71,28
120882,684,1108,252,0,-15,-101.85,-526.65,78,28
121046,456,272,708,0,-33,-110.25,-507.75,78,28
121760,280,464,784,0,-69,38.25,-674.4,71,28
121808,1288,-660,932,0,-92.4,44.25,-667.2,63,28
121967,-332,488,592,0,-204.6,62.7,-498.9,67,28
122006,508,376,1080,0,-264,83.7,-435.9,52,28
122175,268,-524,700,0,-259.65,66.9,-418.95,26,28
122336,376,-276,712,0,-228.6,66.75,-301.65,63,28
122370,692,464,1076,0,-215.7,60.15,-289.95,56,28
122520,8,328,752,0,-232.65,70.8,-301.8,75,28
122682,-832,236,1336,0,-210.9,59.85,-283.05,78,28
122714,-280,132,1080,0,-196.2,40.95,-265.5,75,28
122866,1012,888,1224,0,-205.35,26.85,-272.55,45,28
123027,-460,1408,904,0,-208.35,21.15,-260.7,135,28
123079,-228,904,800,0,-224.7,13.5,-311.4,45,28
123235,732,836,544,0,-229.2,5.85,-336.45,63,28
123396,260,-76,212,0,-192.3,53.1,-234.75,41,28
123430,240,-56,-896,0,-198.45,90.6,-231.6,41,28
123580,56,-60,-1012,0,-187.95,93.6,-227.55,60,28
123742,-52,-132,-1024,0,-183.45,89.7,-223.05,48,28
123774,-12,204,-828,0,-182.25,75.3,-216.3,37,28
123926,112,252,-904,0,-181.5,63.9,-216.75,67,28
124018,-4,556,-956,0,-175.05,42.9,-225.9,63,28
124179,128,544,-888,0,-173.4,48,-220.35,45,28
124340,-180,104,-956,0,-179.4,88.2,-225,41,28
124375,-436,-228,-896,0,-175.5,89.55,-225.9,37,28
124525,-72,76,-924,0,-178.65,80.25,-223.95,52,28
124686,76,1124,-936,0,-175.5,53.85,-221.55,30,28
124718,-276,916,-820,0,-160.65,32.1,-226.05,41,28
124870,252,1132,-428,0,-159.45,8.4,-241.35,41,28
125055,64,756,-192,0,-159.75,8.4,-250.95,138,28
125086,604,1300,-124,0,-149.1,10.05,-234.9,60,28
125239,156,396,-776,0,-2.85,-133.95,-307.5,75,28
125286,-944,116,-1364,0,-7.8,-118.65,-280.65,52,28
125449,472,968,-876,0,-16.35,-110.7,-266.25,33,28
125608,-224,200,-1024,0,-10.2,-103.95,-272.1,22,28
125642,-64,8,-672,0,-16.35,-79.2,-250.35,48,28
125792,0,-184,-760,0,-3,-56.85,-353.7,90,28
125953,-792,788,-808,0,19.2,-18.15,-360.45,82,28
125986,-280,372,-676,0,54.75,-1.35,-300,127,28
