Time (seconds),X_accel,Y_accel,Z_accel,X_mag,Y_mag,Z_mag,light,sound,temp
4.06,-64,368,-944,44.25,95.7,2.85,121,41,24
4.08,-32,384,-960,44.85,94.95,3.75,121,41,24
4.11,-16,368,-960,43.35,95.4,3.15,121,41,24
4.13,-48,368,-944,44.1,95.1,3.3,121,45,24
4.16,-32,384,-960,43.65,95.55,2.7,121,56,24
4.19,-32,368,-960,43.8,95.85,2.4,121,37,24
4.23,-32,368,-928,44.25,95.25,3.15,121,48,24
4.26,-48,368,-928,44.85,95.4,3.45,121,52,24
4.28,-32,368,-960,43.95,94.95,2.55,122,63,24
4.31,-32,368,-960,44.7,95.1,2.85,121,60,24
4.33,-32,384,-944,45.15,94.95,2.55,121,60,24
4.36,-16,368,-960,43.05,95.1,3.15,121,75,24
4.40,-48,368,-960,44.85,95.55,3,121,78,24
4.42,-32,368,-944,45.15,94.05,3,120,78,24
4.45,-32,368,-960,43.95,94.8,3.45,120,63,24
4.48,-16,368,-944,44.85,95.25,3.6,121,67,24
4.50,-32,368,-960,44.25,94.8,3,121,60,24
4.52,-32,368,-960,44.25,94.5,2.4,121,48,24
4.57,-32,384,-944,44.25,96,3.45,121,45,24
4.59,-16,368,-960,44.25,95.85,2.7,121,52,24
4.62,-32,400,-944,44.4,95.25,3.45,121,45,24
4.65,-32,368,-944,44.25,94.95,2.55,120,52,24
4.67,-32,352,-960,44.25,94.65,3.15,126,52,24
4.72,-48,368,-960,43.65,95.4,2.85,122,52,24
4.74,-32,368,-960,44.1,95.7,2.55,121,56,24
4.76,-48,368,-976,44.25,94.5,2.85,122,48,24
4.79,-32,384,-928,43.05,94.5,3.45,121,45,24
4.81,-32,368,-960,44.55,95.25,3.75,121,33,24
4.84,-32,384,-944,43.95,94.5,3.45,121,33,24
4.88,-32,368,-960,43.35,96,2.7,120,33,24
4.91,-32,368,-960,44.25,95.4,3.6,121,26,24
4.93,-32,368,-944,44.85,94.65,3.9,120,41,24
4.96,-32,368,-944,43.65,94.65,3.45,121,30,24
4.98,-32,384,-928,44.25,95.25,3.6,120,26,24
5.01,-48,352,-960,43.95,95.1,2.85,122,30,24
5.05,-32,368,-944,44.4,95.1,3,121,30,24
5.08,-32,368,-944,44.4,94.05,3,121,41,24
5.10,-48,368,-944,43.8,94.95,2.7,121,30,24
5.13,-16,384,-944,44.4,94.95,2.7,122,33,24
5.15,-32,368,-928,44.25,95.55,3.75,120,18,24
5.18,-48,368,-944,43.65,94.8,3.15,121,78,24
5.22,-32,368,-944,45,95.25,2.85,121,75,24
5.24,-32,368,-960,43.65,94.8,3.15,120,37,24
5.27,-32,384,-960,44.25,95.85,2.1,121,26,24
5.29,-48,352,-960,43.65,94.95,2.85,121,67,24
5.32,-32,368,-976,44.4,95.25,2.25,126,75,24
5.34,-32,368,-960,44.1,95.25,3.15,121,63,24
5.39,-32,368,-976,44.1,94.95,3.3,120,26,24
5.41,-32,384,-960,44.7,94.05,3.45,121,30,24
5.44,-16,352,-960,43.5,95.85,3,120,33,24
5.46,-32,352,-928,43.95,94.65,4.05,120,41,24
5.49,-32,368,-944,43.65,94.95,3.75,120,33,24
5.51,-16,368,-960,44.4,94.95,3.15,121,7,24
5.56,-32,368,-976,44.85,95.25,2.85,125,26,24
5.58,-16,352,-944,44.1,94.8,3.3,121,60,24
5.60,-32,352,-944,45.15,94.95,3.9,121,75,24
5.63,-32,384,-960,45,96.15,3.15,121,71,24
5.65,-32,384,-944,43.8,95.55,2.25,120,63,24
5.68,-32,384,-960,43.35,95.1,2.85,121,78,24
5.72,-16,368,-976,43.5,94.8,3.15,121,30,24
5.75,-16,368,-928,43.8,94.5,3.75,125,15,24
5.78,-32,384,-944,43.2,94.95,3.6,121,18,24
5.80,-48,352,-944,44.55,95.85,2.85,125,26,24
5.83,-32,352,-944,43.95,95.4,3.3,121,37,24
5.85,-32,384,-944,43.65,95.1,3.75,121,75,24
5.90,-32,368,-944,43.5,95.7,3,126,82,24
5.92,-48,352,-944,44.85,94.65,3.15,124,67,24
5.95,-32,368,-944,43.35,95.55,4.05,122,52,24
5.97,-32,368,-944,43.35,95.85,3.3,120,33,24
6.00,-16,336,-976,43.65,95.25,3.15,126,41,24
6.05,-32,384,-960,43.5,95.25,2.85,121,71,24
6.07,-32,352,-960,43.65,94.95,3.45,121,63,24
6.10,-32,384,-976,43.95,95.4,3.3,121,56,24
6.12,-48,368,-944,44.1,95.55,2.7,121,93,24
6.14,-32,384,-944,44.1,95.7,2.85,121,63,24
6.17,-48,368,-944,44.1,94.95,3.6,121,52,24
6.21,-32,384,-960,44.7,95.85,3.45,125,78,24
6.24,-48,352,-960,43.95,96,3.3,121,63,24
6.26,-32,368,-960,43.2,95.7,3.75,121,82,24
6.29,-32,368,-960,43.65,95.25,2.85,121,60,24
6.31,-32,384,-960,44.4,95.25,3,121,41,24
6.34,-48,368,-960,44.4,95.7,3.6,120,48,24
6.54,-48,384,-960,43.35,95.1,3.3,121,52,24
6.56,-32,384,-944,43.65,95.1,2.85,121,56,24
6.59,-48,368,-960,44.1,95.25,3,121,48,24
6.62,-16,352,-960,44.1,94.65,3,120,67,24
6.64,-32,384,-944,44.25,95.85,3,122,41,24
6.66,-48,352,-944,43.2,94.95,3,121,56,24
6.71,-32,384,-960,43.95,96,3.15,122,37,24
6.74,-32,384,-960,44.85,95.1,2.4,121,30,24
6.76,-32,384,-960,43.65,95.4,2.7,121,33,24
6.78,-48,368,-944,45,95.85,4.05,121,33,24
6.81,-48,368,-944,44.4,94.5,2.85,121,45,24
6.84,-32,368,-944,44.25,95.1,3.45,121,30,24
6.88,-48,368,-960,44.55,94.95,2.55,125,15,24
6.91,-48,368,-944,44.4,95.1,3.45,121,18,24
6.94,-48,400,-960,43.8,95.55,2.55,121,30,24
6.96,-64,400,-960,44.4,94.65,3.15,121,33,24
6.98,-32,368,-960,44.7,94.95,3.15,121,26,24
7.01,-48,368,-960,43.5,95.1,2.55,121,33,24
7.05,-32,352,-944,43.95,95.85,3.3,121,56,24
7.08,-64,368,-944,43.65,94.95,3.6,121,56,24
7.10,-32,368,-960,44.85,95.7,3.15,121,52,24
7.12,-32,368,-928,45.15,95.85,2.4,121,67,24
7.15,-32,368,-944,44.7,95.55,2.25,121,63,24
7.17,-32,384,-944,44.85,95.25,2.4,120,56,24
7.22,-32,384,-960,45.3,95.55,2.85,122,60,24
7.24,-32,368,-944,44.1,94.8,3.3,121,67,24
7.27,-32,368,-944,45,95.25,2.55,121,63,24
7.29,-48,352,-944,43.8,95.4,3.3,121,75,24
7.32,-32,368,-960,43.8,94.65,2.85,121,60,24
7.34,-48,368,-960,45,95.1,3.15,121,63,24
7.39,-32,352,-960,43.65,95.55,2.4,120,67,24
7.41,-32,368,-960,44.85,95.25,3.45,120,63,24
7.44,-32,384,-944,43.65,95.1,2.7,121,63,24
7.46,-48,384,-944,44.55,95.1,2.4,121,45,24
7.48,-48,368,-944,44.1,95.7,3.3,121,41,24
7.51,-32,384,-944,44.25,94.5,2.7,121,45,24
7.55,-32,368,-960,44.4,95.25,2.55,125,37,24
7.58,-32,352,-960,44.1,94.5,3,121,52,24
7.60,-32,368,-960,43.35,95.55,3.6,121,37,24
7.62,-32,384,-960,43.65,94.65,3.75,120,37,24
7.65,-16,384,-960,44.25,95.7,2.55,120,33,24
7.68,-32,368,-944,44.85,94.95,2.85,121,37,24
7.72,-32,368,-944,43.65,95.55,3.15,121,26,24
7.74,-48,384,-960,43.8,96.15,2.85,120,22,24
7.77,-16,368,-976,43.95,96,2.25,121,33,24
7.80,-32,352,-960,43.35,94.95,2.85,121,48,24
7.82,-64,384,-976,45.3,95.25,2.85,121,48,24
7.85,-32,368,-960,43.05,95.25,3,121,45,24
7.89,-48,384,-944,44.1,94.65,3.15,125,37,24
7.92,-32,368,-960,44.25,95.7,2.4,120,41,24
7.94,-32,368,-960,43.65,95.4,3.9,121,45,24
7.96,-32,384,-944,44.4,95.1,3.3,120,48,24
7.99,-32,368,-928,43.65,94.95,2.55,126,33,24
8.01,-32,368,-944,43.8,95.55,3.45,120,33,24
8.06,-16,368,-928,44.7,95.55,3,120,33,24
8.08,-48,384,-960,44.85,95.1,2.85,120,30,24
8.11,-48,384,-944,44.55,94.8,2.85,125,33,24
8.13,-32,384,-944,44.4,96,2.85,120,45,24
8.16,-16,384,-944,45,96,2.85,121,60,24
8.18,-48,352,-960,43.95,95.25,3.15,120,71,24
8.22,-32,368,-960,44.4,96,3.45,120,26,24
8.25,-32,352,-944,44.55,94.8,2.7,120,60,24
8.27,-32,368,-960,44.7,94.5,3.6,121,71,24
8.30,-48,368,-944,44.55,94.95,3.3,120,48,24
8.32,-32,352,-960,44.55,94.95,2.55,121,67,24
8.34,-48,352,-960,43.8,93.9,3.15,121,30,24
8.39,-32,384,-960,44.55,95.25,3.45,121,48,24
8.41,-48,368,-944,44.7,95.25,3,121,37,24
8.44,-48,368,-960,44.25,94.8,4.35,126,33,24
8.46,-32,384,-944,45,95.25,3.6,124,33,24
8.49,-32,368,-960,44.85,95.55,3.15,121,41,24
8.52,-16,384,-944,44.25,94.95,3.75,125,26,24
8.56,-32,384,-960,44.55,94.5,2.7,121,30,24
8.58,-32,384,-944,44.1,94.8,3,121,26,24
8.60,-32,368,-960,44.4,95.7,2.55,122,71,24
8.63,-32,384,-960,43.8,95.7,3.6,121,63,24
8.65,-32,384,-960,43.8,95.1,3.15,121,56,24
8.68,-32,352,-944,43.5,94.8,2.85,120,105,24
8.72,-32,352,-944,43.5,95.25,3.15,120,105,24
8.75,-32,368,-960,44.1,95.4,3.15,121,75,24
8.77,-32,368,-960,43.95,94.5,2.7,121,90,24
8.80,-32,368,-944,44.4,96,3,121,75,24
