Time (seconds),X_accel,Y_accel,Z_accel,X_mag,Y_mag,Z_mag,light,sound,temp
14.63,-16,352,-944,44.4,95.25,2.7,125,97,24
14.66,-48,368,-960,44.25,94.95,2.4,120,90,24
14.68,-48,368,-960,43.95,94.65,2.85,121,82,24
14.71,-48,368,-960,44.1,95.85,1.8,120,82,24
14.92,-32,352,-944,44.85,95.4,2.55,121,56,24
14.95,-48,384,-960,44.55,95.85,3,122,37,24
14.98,-32,368,-960,44.25,95.1,2.55,120,33,24
15.00,-32,368,-944,44.25,94.2,3.15,122,45,24
15.02,-32,352,-928,44.4,94.5,1.8,121,41,24
15.07,-48,352,-960,44.55,94.65,2.1,121,52,24
15.10,-48,368,-960,43.95,95.55,2.55,121,37,24
15.12,-32,368,-960,45.3,95.4,3,122,45,24
15.14,-32,352,-960,44.85,95.4,2.7,120,45,24
15.17,-48,368,-960,44.4,94.05,2.25,121,56,24
15.19,-48,352,-960,44.25,94.8,2.25,121,82,24
15.24,-32,384,-944,44.1,94.5,2.7,121,90,24
15.26,-48,352,-960,44.4,95.55,2.85,121,93,24
15.29,-48,368,-960,44.85,95.25,2.55,121,78,24
15.31,-32,336,-976,44.55,95.55,1.95,120,45,24
15.34,-48,352,-960,44.85,95.25,2.85,126,30,24
15.37,-48,352,-944,43.65,94.5,2.55,120,48,24
15.41,-48,368,-944,43.5,95.25,2.25,121,75,24
15.44,-48,368,-960,43.5,95.1,2.25,125,71,24
15.46,-48,352,-960,44.25,93.9,2.4,125,67,24
15.48,-32,368,-960,44.85,95.7,2.1,120,63,24
15.51,-32,352,-960,44.1,95.4,2.1,121,60,24
15.53,-32,336,-944,45.3,94.8,1.35,120,48,24
15.58,-32,352,-944,45,95.1,2.1,120,71,24
15.60,-32,352,-944,43.65,94.35,2.85,120,52,24
15.63,-32,352,-960,44.7,94.35,2.7,122,75,24
15.65,-32,384,-960,43.8,95.85,2.1,121,86,24
15.68,-32,352,-928,44.7,94.8,2.85,121,45,24
15.70,-32,352,-960,44.25,94.95,3,122,56,24
15.74,-32,368,-960,44.4,94.95,2.1,121,75,24
15.77,-48,368,-944,44.7,95.25,2.7,120,75,24
15.80,-32,336,-944,43.8,95.25,2.25,121,63,24
15.82,-48,368,-944,44.4,94.2,2.4,120,33,24
15.85,-48,368,-960,44.4,94.35,3.15,121,78,24
15.89,-32,352,-944,44.7,95.4,2.55,121,86,24
15.92,-32,384,-960,44.25,95.1,2.55,121,90,24
15.94,-32,352,-944,44.25,96,2.7,120,82,24
15.97,-32,368,-960,45,95.85,2.25,121,63,24
15.99,-32,352,-960,44.55,94.65,2.1,120,26,24
16.02,-48,352,-960,43.65,94.8,1.8,121,30,24
16.06,-48,352,-960,43.65,95.1,2.1,121,30,24
16.09,-48,384,-944,44.7,94.35,2.25,125,48,24
16.11,-32,384,-928,45,93.9,1.8,121,45,24
16.14,-32,368,-960,43.35,95.25,2.85,121,37,24
16.16,-16,352,-944,44.25,95.25,1.8,121,45,24
16.18,-32,384,-960,42.6,94.95,2.25,121,18,24
16.23,-32,352,-960,45,94.5,1.65,121,37,24
16.25,-32,352,-960,44.1,95.55,2.7,121,41,24
16.28,-32,352,-944,44.1,94.5,3,120,60,24
16.30,-48,368,-944,44.7,95.85,2.1,121,82,24
16.32,-32,368,-944,43.35,94.95,2.85,120,71,24
16.35,-32,384,-944,46.2,95.25,2.85,121,75,24
16.40,-32,384,-960,44.1,94.2,2.1,121,71,24
16.42,-32,336,-960,43.65,94.8,2.25,121,71,24
16.44,-48,352,-976,44.85,95.25,2.4,121,67,24
16.47,-32,368,-960,43.2,94.65,2.25,121,71,24
16.50,-16,384,-960,44.55,95.55,2.55,120,60,24
16.52,-48,368,-960,43.65,95.55,2.25,121,60,24
16.57,-32,368,-976,44.7,95.55,1.8,126,37,24
16.59,-48,368,-960,44.4,94.95,2.4,121,37,24
16.62,-16,336,-960,44.25,95.25,2.55,121,37,24
16.64,-48,352,-944,44.55,94.5,2.1,126,37,24
16.66,-32,352,-960,44.4,94.5,1.95,125,56,24
16.71,-48,368,-960,43.8,94.8,1.8,120,48,24
16.73,-32,368,-960,43.65,95.4,1.5,122,41,24
16.76,-32,368,-960,44.25,96.45,2.4,120,78,24
16.78,-32,352,-928,43.2,96.6,2.85,120,90,24
16.80,-48,368,-960,44.4,96,2.25,122,82,24
16.83,-32,368,-976,44.55,95.25,1.95,121,90,24
16.87,-48,368,-960,45.15,96.3,2.4,125,75,24
16.90,-48,368,-960,44.7,96.45,3.15,121,90,24
16.92,-32,384,-944,45,97.2,2.55,121,45,24
16.95,-32,368,-944,43.8,95.55,2.55,120,52,24
16.97,-32,368,-960,43.65,96.45,2.85,122,41,24
17.00,-32,368,-960,45.3,96.45,2.85,121,30,24
17.04,-32,384,-960,44.1,95.4,2.85,121,45,24
17.06,-32,384,-960,44.25,96.75,2.85,121,33,24
17.09,0,352,-944,44.4,94.8,2.4,121,37,24
17.12,-32,352,-944,44.25,96.45,2.1,126,22,24
17.14,-48,368,-944,43.95,96.9,2.1,121,18,24
17.16,-32,368,-944,45.15,96.6,2.1,121,22,24
17.21,-48,352,-944,44.55,96.6,1.65,122,26,24
17.23,-48,352,-944,46.05,96.3,2.25,122,26,24
17.26,-32,352,-944,44.7,96,2.1,122,41,24
17.28,-32,384,-960,44.55,96.9,2.25,122,75,24
17.31,-48,368,-960,45,96.3,1.65,122,78,24
17.33,-32,384,-944,45,96.3,2.4,122,71,24
17.38,-48,352,-960,44.25,96.15,1.35,122,52,24
17.40,-32,336,-976,44.1,95.7,1.65,122,63,24
17.42,-48,352,-944,44.7,96.45,1.5,122,71,24
17.45,-32,368,-944,45.15,96.75,1.65,121,82,24
17.47,-32,368,-976,44.4,96.45,1.8,122,78,24
17.69,-32,384,-960,43.95,96.6,2.25,121,37,24
17.72,-48,384,-960,44.55,96.45,2.85,121,33,24
17.74,-32,384,-944,44.25,96,1.8,121,37,24
17.76,-32,352,-944,44.55,96.15,2.1,121,33,24
17.79,-32,368,-960,44.25,96.75,2.55,121,33,24
17.81,-32,368,-976,43.8,96,1.95,121,37,24
17.86,-32,400,-976,43.8,96.45,2.85,121,45,24
17.88,-64,368,-960,44.55,96.3,3,121,22,24
17.91,-32,368,-960,44.55,96.15,2.55,121,56,24
17.93,-32,384,-976,44.55,95.4,1.65,121,45,24
17.96,-48,368,-976,44.55,95.4,2.25,121,33,24
17.98,-16,368,-976,45.15,96.15,2.25,121,37,24
18.02,-32,368,-944,45.15,95.85,2.1,121,37,24
18.05,-48,368,-944,44.4,94.95,2.1,121,18,24
18.07,-32,368,-944,44.25,95.7,2.4,121,52,24
18.10,-32,352,-944,43.95,95.25,2.25,122,48,24
18.12,-48,368,-944,43.8,95.85,1.8,125,52,24
18.14,-48,368,-928,43.95,95.55,1.05,126,41,24
18.19,-32,336,-976,44.1,96.15,1.2,121,60,24
18.21,-32,384,-960,44.55,96.3,2.1,121,82,24
18.24,-48,368,-944,43.95,95.25,2.25,120,90,24
18.26,-32,368,-960,44.1,95.55,2.1,120,71,24
18.29,-48,352,-960,43.95,95.4,2.1,120,60,24
18.33,-48,384,-944,43.95,96.15,2.25,122,41,24
18.36,-48,352,-960,44.1,95.55,2.4,120,30,24
18.38,-32,352,-976,44.85,96.6,2.25,121,48,24
18.40,-48,368,-960,45.3,95.7,2.7,120,78,24
18.43,-48,368,-976,44.25,96.15,2.4,121,71,24
18.46,-32,352,-960,45.3,96.75,2.1,121,78,24
18.50,-48,368,-960,45.15,95.85,2.55,125,82,24
18.52,-32,352,-960,44.4,96.75,2.25,120,75,24
18.55,-48,352,-960,45.45,96.15,1.95,126,60,24
18.57,-32,352,-944,45.9,95.85,2.25,127,82,24
18.60,-32,336,-944,45.75,96.45,2.1,126,78,24
18.62,-48,368,-960,45.45,96.3,1.8,121,75,24
18.66,-48,384,-960,45.15,95.4,2.1,121,41,24
18.69,-48,384,-944,44.55,95.7,1.5,120,37,24
18.72,-32,384,-944,45.15,94.5,1.8,121,41,24
18.74,-32,368,-960,44.4,95.4,1.5,120,71,24
18.76,-48,352,-960,44.85,95.55,0.9,121,56,24
18.80,-48,368,-976,44.85,95.25,1.65,120,56,24
18.83,-48,368,-960,44.85,96.3,1.2,120,63,24
18.86,-16,368,-944,43.95,95.55,1.35,120,48,24
18.88,-48,368,-976,43.5,95.55,1.65,120,45,24
18.91,-32,368,-944,43.35,96.15,2.7,120,63,24
18.93,-32,384,-960,44.25,96.6,2.4,119,37,24
18.98,-16,352,-976,44.4,96.45,3.15,123,41,24
19.00,-16,352,-960,44.1,95.85,2.7,120,37,24
19.02,-32,352,-944,43.65,95.4,2.4,123,30,24
19.05,-32,368,-944,44.25,96.3,2.55,120,45,24
19.07,-32,384,-960,43.65,95.25,2.25,119,30,24
19.10,-48,384,-960,44.4,95.4,2.85,120,67,24
19.15,-48,336,-944,44.25,94.65,1.65,120,78,24
19.17,-32,368,-944,44.85,94.95,1.8,120,67,24
19.20,-32,368,-928,43.8,95.1,1.8,120,48,24
19.22,-16,384,-944,44.55,95.1,2.1,121,56,24
19.25,-32,352,-960,44.7,95.85,2.85,120,41,24
19.27,-48,352,-960,43.95,94.65,2.4,121,45,24
19.32,-16,384,-944,44.25,95.85,2.7,121,60,24
19.34,-48,352,-960,44.25,95.85,3,121,48,24
19.36,-48,368,-960,45,95.25,1.5,121,45,24
19.39,-32,368,-960,43.65,96.3,2.55,121,30,24
19.41,-32,352,-960,43.65,95.85,1.95,120,26,24
19.46,-48,368,-944,44.4,95.55,2.25,121,60,24
19.48,-32,384,-944,44.1,95.4,1.95,120,56,24
19.51,-32,352,-960,44.7,95.1,2.4,121,45,24
19.53,-32,384,-944,43.65,94.8,2.4,120,37,24
19.56,-64,368,-976,44.1,95.1,1.8,121,48,24
19.58,-48,368,-944,43.5,95.4,3.15,120,56,24
19.63,-48,368,-960,44.1,95.25,2.7,121,37,24
19.65,-48,352,-960,44.7,95.85,2.25,125,30,24
19.68,-32,368,-960,44.1,95.55,3,125,33,24
19.70,-32,384,-960,44.55,94.95,1.95,120,37,24
19.73,-32,368,-944,44.4,95.7,2.25,121,45,24
19.75,-32,336,-944,43.8,95.1,2.25,121,60,24
19.80,-48,352,-960,43.95,95.1,2.4,120,48,24
19.82,-48,368,-976,44.4,95.55,3,121,56,24
19.84,-48,352,-960,44.4,95.7,2.25,120,56,24
19.87,-16,368,-960,43.65,95.1,2.7,121,37,24
19.89,-48,352,-960,44.25,95.7,1.35,121,52,24
19.92,-48,368,-944,44.55,96.15,1.65,121,67,24
19.96,-32,384,-944,44.25,95.7,1.65,126,75,24
19.99,-48,352,-944,44.1,95.7,2.55,120,71,24
20.01,-48,368,-960,43.35,95.1,3,121,71,24
20.04,-48,368,-960,43.05,94.5,2.7,120,33,24
20.06,-32,368,-960,43.95,95.25,2.1,121,18,24
20.09,-16,368,-944,44.25,94.8,2.4,120,45,24
20.13,-48,368,-960,44.55,95.55,2.4,121,37,24
20.16,-32,368,-960,43.8,95.7,2.1,120,33,24
20.19,-48,352,-960,44.4,94.35,2.55,120,30,24
20.21,-32,352,-960,44.4,94.95,2.25,120,33,24
20.24,-32,368,-960,44.25,95.25,1.65,120,30,24
20.43,-32,368,-944,44.1,95.25,2.7,120,33,24
20.46,-16,368,-960,43.05,96,2.4,120,33,24
20.48,-48,368,-960,43.8,95.7,2.1,121,26,24
20.51,-32,368,-976,45.45,96.15,1.95,125,30,24
20.53,-32,368,-944,43.8,95.1,2.25,121,26,24
20.56,-48,368,-976,43.95,95.55,1.2,120,33,24
20.60,-48,368,-960,43.5,94.65,2.25,120,37,24
20.62,-48,384,-976,43.05,96.15,2.7,120,33,24
20.65,-32,352,-960,44.25,95.7,1.65,120,37,24
20.67,-64,368,-944,43.65,95.55,2.7,120,56,24
20.70,-32,368,-944,43.8,94.65,2.7,120,37,24
20.72,-48,352,-960,43.95,95.25,1.95,120,41,24
20.76,-48,384,-960,43.65,95.1,2.55,120,37,24
20.79,-16,368,-944,44.55,94.8,2.7,120,37,24
20.81,-32,368,-960,44.1,96,1.95,120,41,24
20.84,-16,368,-960,43.65,96,2.25,120,33,24
20.86,-32,368,-944,43.8,96.3,2.1,120,52,24
20.89,-48,368,-944,43.95,95.7,2.7,121,48,24
20.94,-32,368,-944,43.8,94.95,2.1,125,52,24
20.96,-48,352,-960,44.4,95.4,2.25,120,37,24
20.98,-48,352,-960,44.7,95.7,2.4,120,48,24
21.01,-48,384,-960,43.65,95.25,2.55,121,33,24
21.03,-48,368,-976,44.25,94.95,1.65,124,18,24
21.06,-32,384,-944,44.85,95.4,2.7,125,33,24
21.10,-16,352,-960,43.5,95.4,1.8,121,37,24
21.12,-32,368,-960,42.9,95.7,2.4,121,45,24
21.15,-32,368,-960,43.05,95.85,2.4,121,56,24
21.17,-48,368,-960,43.8,95.7,1.95,120,48,24
21.20,-16,368,-960,44.55,95.7,2.7,120,41,24
21.24,-32,352,-944,43.5,95.4,2.7,120,56,24
21.26,-32,368,-960,43.8,95.4,2.4,121,52,24
21.29,-48,368,-960,43.8,95.85,2.1,121,63,24
21.31,-16,352,-960,43.35,95.7,2.4,121,63,24
21.34,-16,368,-960,43.8,95.55,2.7,120,82,24
21.36,-48,352,-944,43.65,94.95,2.1,121,97,24
21.41,-32,384,-960,44.1,95.7,1.95,120,67,24
21.44,-48,352,-944,45,94.8,2.4,120,48,24
21.46,-32,368,-944,44.25,95.25,3.3,121,45,24
21.48,-48,336,-960,43.65,95.4,2.25,121,37,24
21.51,-32,352,-944,45.15,95.55,1.65,121,45,24
21.54,-48,352,-944,43.95,94.95,2.1,122,45,24
21.58,-32,352,-960,43.95,95.1,2.4,121,48,24
21.60,-32,368,-944,43.95,95.55,1.65,121,37,24
21.63,-32,336,-944,44.25,96.45,1.8,121,26,24
21.65,-48,384,-960,43.2,94.95,2.55,120,22,24
21.68,-48,368,-960,43.65,95.55,1.95,121,33,24
21.70,-48,352,-960,43.95,94.5,2.85,121,45,24
21.75,-32,368,-944,44.25,95.25,2.4,121,52,24
21.78,-32,368,-960,43.95,95.7,2.25,121,41,24
21.80,-32,352,-960,43.8,95.1,1.65,122,30,24
21.82,-16,352,-944,43.5,95.25,2.4,121,45,24
21.85,-32,368,-944,44.55,95.1,2.4,121,52,24
21.90,-32,384,-960,43.95,95.25,2.25,125,52,24
21.92,-32,368,-944,44.55,95.25,2.25,121,52,24
21.94,-64,384,-960,43.35,95.55,2.1,121,75,24
21.97,-48,368,-944,43.05,94.8,2.4,121,75,24
21.99,-32,352,-960,43.65,96.15,2.7,121,52,24
22.02,-32,368,-944,43.5,96.3,2.1,120,56,24
22.06,-48,368,-976,42.9,95.55,3,125,67,24
22.09,-32,368,-960,42.9,96.45,2.25,120,56,24
22.12,-32,368,-944,43.35,95.1,2.4,121,45,24
22.14,-32,368,-960,44.7,95.7,2.4,121,52,24
22.17,-48,352,-960,44.25,95.85,2.4,120,45,24
22.19,-16,368,-976,43.8,94.95,2.55,121,33,24
22.24,-32,352,-960,44.85,96,2.25,120,26,24
22.26,-48,384,-960,43.95,95.25,2.7,121,52,24
22.28,-48,368,-960,44.1,96,2.4,120,45,24
22.31,-32,352,-960,42.9,95.1,1.5,121,63,24
22.33,-32,352,-976,43.95,94.95,1.65,120,63,24
22.36,-32,368,-944,43.95,96.15,2.25,121,56,24
22.40,-48,368,-976,44.55,94.8,1.8,121,52,24
22.43,-16,368,-960,43.35,94.95,2.7,120,22,24
22.46,-32,352,-960,44.7,94.65,1.95,120,33,24
22.48,-32,352,-960,44.25,94.35,2.25,121,45,24
22.50,-16,352,-944,43.95,94.95,2.1,120,63,24
22.55,-48,336,-944,43.5,95.4,2.4,126,63,24
22.57,-16,368,-944,43.05,96.15,2.1,120,63,24
22.60,-48,384,-944,43.5,95.25,2.25,121,48,24
22.62,-48,368,-944,43.95,95.85,2.7,119,41,24
22.65,-32,352,-944,44.25,95.7,1.65,121,45,24
22.67,-48,352,-944,43.95,94.95,2.1,120,45,24
22.72,-32,384,-960,44.1,95.7,2.25,120,48,24
22.74,-32,384,-960,43.65,95.4,1.95,119,37,24
22.77,-32,352,-944,44.1,95.85,2.1,120,45,24
22.79,-32,368,-960,43.35,95.4,2.4,119,45,24
22.82,-32,352,-944,44.1,95.1,2.1,120,30,24
22.84,-48,384,-960,43.65,95.4,2.1,120,30,24
22.88,-32,352,-944,44.25,95.7,2.25,120,41,24
22.91,-16,352,-960,42.9,96.9,2.55,120,45,24
22.93,-16,368,-960,43.65,95.4,1.5,120,37,24
22.96,-48,368,-944,43.2,96,2.7,120,33,24
22.98,-32,368,-928,43.65,95.4,2.25,120,22,24
23.01,-32,352,-944,43.95,96,1.5,120,33,24
23.22,-16,352,-944,43.8,95.55,2.25,121,30,24
23.24,-64,384,-976,44.55,96.15,1.8,119,37,24
23.27,-32,368,-960,43.05,95.7,2.85,121,33,24
23.30,-16,352,-960,45,95.7,2.4,120,18,24
23.32,-32,352,-960,43.95,95.55,2.55,121,30,24
23.34,-32,368,-960,44.1,94.95,1.65,120,26,24
23.39,-32,368,-960,43.8,96.15,2.7,120,37,24
23.41,-32,368,-960,44.7,95.1,2.55,120,30,24
23.44,-48,384,-960,44.1,95.55,2.1,120,22,24
23.46,-32,368,-960,44.25,95.55,2.1,120,67,24
23.48,-48,368,-944,43.8,95.85,2.4,126,75,24
23.53,-48,368,-928,43.05,94.65,2.1,120,105,24
23.55,-32,384,-960,43.5,95.1,2.7,121,108,24
23.58,-48,352,-944,43.35,95.4,1.2,120,105,24
23.60,-48,352,-944,43.35,95.85,2.85,121,101,24
23.63,-48,352,-960,43.5,95.25,2.25,120,112,24
23.65,-32,368,-960,45,96.3,2.55,121,101,24
23.70,-48,384,-960,43.5,95.25,1.5,121,33,24
23.72,-32,368,-944,44.55,95.55,1.8,121,48,24
23.74,-16,384,-944,44.25,95.4,2.25,121,37,24
23.77,-32,368,-960,43.95,96,2.4,121,33,24
23.79,-32,368,-960,44.4,94.5,2.1,124,30,24
23.82,-32,368,-944,43.65,95.25,2.1,121,71,24
23.86,-32,336,-960,43.2,96.3,1.35,121,41,24
23.88,-32,368,-960,44.1,95.1,1.5,120,37,24
23.91,-64,352,-960,44.55,96.6,2.1,120,41,24
23.93,-48,368,-960,44.7,95.4,3,121,37,24
23.96,-32,368,-960,43.5,95.7,3,121,33,24
23.98,-48,384,-944,45.15,96.3,2.7,121,75,24
24.03,-32,368,-944,43.5,95.55,2.25,120,78,24
24.05,-48,352,-944,42.9,95.4,1.95,121,75,24
24.08,-48,352,-960,44.55,96,1.65,120,82,24
24.10,-48,368,-928,44.4,95.7,1.2,120,82,24
24.12,-48,352,-960,43.5,95.55,1.8,120,78,24
24.15,-32,368,-960,44.7,95.4,1.95,120,71,24
24.19,-32,336,-960,44.55,95.55,1.5,120,56,24
24.22,-32,368,-944,43.35,96.15,1.95,121,41,24
24.24,-32,352,-960,44.25,95.25,2.25,120,45,24
24.27,-32,368,-928,43.8,95.55,1.2,125,33,24
24.29,-48,352,-944,43.35,95.7,1.95,120,26,24
24.34,-32,352,-944,42.9,95.7,1.65,121,56,24
24.36,-32,368,-960,44.25,96.3,1.8,120,75,24
24.39,-48,352,-960,44.4,95.25,2.55,121,48,24
24.41,-32,368,-960,44.55,96,2.55,120,26,24
24.44,-32,368,-944,44.4,95.7,2.25,121,33,24
24.46,-16,352,-944,44.7,96,1.5,120,22,24
24.51,-32,384,-960,44.4,94.35,2.1,126,82,24
24.53,-48,352,-960,44.55,95.25,2.1,120,75,24
24.56,-32,352,-944,43.8,96.3,2.1,121,63,24
24.58,-32,368,-960,44.4,95.25,1.8,121,56,24
24.61,-48,368,-944,44.85,94.95,2.55,120,86,24
24.63,-32,352,-944,43.65,96.3,2.25,120,90,24
24.68,-48,352,-944,44.4,95.7,2.1,120,93,24
24.70,-48,352,-944,43.8,95.55,2.1,120,97,24
24.72,-32,352,-960,44.85,95.7,2.85,120,93,24
24.75,-32,352,-944,44.1,95.25,2.4,120,90,24
24.78,-32,352,-944,43.95,95.85,1.65,120,67,24
24.80,-48,368,-944,43.8,95.1,1.5,120,48,24
24.85,-48,352,-944,44.4,96,2.55,121,82,24
24.87,-16,384,-944,43.8,95.25,2.55,121,60,24
24.90,-16,352,-944,43.95,95.1,2.55,125,37,24
24.92,-48,384,-960,44.4,95.4,1.65,120,52,24
24.94,-16,384,-944,43.5,95.55,2.85,124,33,24
24.97,-48,368,-960,43.95,94.8,1.8,121,45,24
25.01,-32,352,-960,43.8,95.25,1.8,121,75,24
25.04,-48,352,-960,43.5,95.7,1.8,121,86,24
25.06,-32,352,-944,44.25,96.9,2.7,120,86,24
25.09,-48,368,-944,43.65,96.3,2.55,120,82,24
25.11,-64,384,-960,44.25,95.4,1.95,120,75,24
25.16,-32,352,-944,44.25,95.1,1.95,120,67,24
25.18,-16,368,-960,43.95,95.1,2.1,120,56,24
25.21,-32,384,-960,43.5,95.55,2.1,120,67,24
25.23,-48,368,-944,43.95,95.55,2.1,121,71,24
25.26,-16,368,-944,44.1,95.55,2.25,120,56,24
25.28,-32,368,-944,44.1,95.55,2.55,120,67,24
25.33,-32,384,-944,43.95,95.7,1.5,125,52,24
25.35,-32,368,-960,43.65,95.7,1.5,120,45,24
25.38,-32,384,-944,44.1,96.3,2.25,120,48,24
25.40,-32,352,-960,43.8,96.15,1.65,120,30,24
25.43,-32,352,-960,44.85,96,2.85,120,33,24
25.45,-48,352,-960,43.95,96.6,2.7,120,33,24
25.50,-32,384,-960,43.65,94.95,1.95,124,45,24
25.52,-32,352,-960,44.55,95.55,2.25,120,37,24
25.54,-48,368,-960,44.25,96.3,1.65,120,30,24
25.57,-32,368,-944,44.4,95.25,1.8,121,45,24
25.59,-48,368,-944,43.65,96.3,2.4,120,26,24
25.62,-48,368,-944,44.4,96,2.4,120,90,24
25.66,-16,352,-944,43.2,95.7,2.55,120,86,24
25.69,-48,368,-960,44.55,96.45,2.25,120,90,24
25.71,-32,384,-960,43.35,95.1,2.1,120,93,24
25.74,-16,352,-976,43.8,94.5,1.95,120,112,24
25.76,-16,368,-944,43.65,95.7,2.25,121,123,24
25.96,-48,368,-944,44.55,95.55,1.95,121,82,24
25.99,-32,352,-944,43.35,95.7,2.4,120,90,24
26.01,-32,368,-960,44.1,95.4,1.8,119,93,24
26.04,-16,352,-944,44.4,95.4,2.1,120,97,24
26.06,-32,384,-960,43.65,94.5,2.55,120,93,24
26.09,-48,384,-960,44.7,95.25,1.65,120,86,24
26.13,-32,368,-944,44.55,96.15,2.1,126,90,24
26.16,-32,352,-960,44.1,94.8,2.85,120,82,24
26.18,-16,368,-960,42.75,95.55,1.35,120,97,24
26.21,-32,368,-960,43.35,95.55,1.5,120,101,24
26.23,-32,368,-960,43.35,95.4,2.25,120,97,24
26.26,-48,352,-960,44.25,95.85,1.65,125,101,24
26.30,-32,368,-960,43.8,95.25,1.5,121,48,24
26.32,-32,368,-944,43.8,95.55,1.95,121,48,24
26.35,-32,384,-960,43.35,95.1,1.35,121,60,24
26.37,-48,368,-960,43.95,95.85,1.5,120,63,24
26.40,-48,368,-944,43.8,96,1.8,120,52,24
26.42,-48,352,-944,44.25,95.4,1.8,120,60,24
26.46,-48,352,-960,44.25,95.7,2.1,120,90,24
26.49,-32,384,-960,43.95,95.85,1.8,120,101,24
26.52,-48,352,-960,43.95,95.25,1.95,120,105,24
26.54,-32,368,-944,44.25,94.8,2.7,120,101,24
26.57,-32,384,-976,43.95,95.25,1.65,120,101,24
26.61,-32,384,-944,44.25,95.55,1.95,124,105,24
26.64,-48,368,-960,43.95,94.5,1.35,120,97,24
26.66,-48,384,-944,44.1,95.4,2.1,120,78,24
26.69,-32,368,-944,44.25,95.85,1.8,125,60,24
26.71,-16,368,-960,43.5,95.7,1.35,120,45,24
26.74,-32,368,-960,43.35,96.15,1.65,120,45,24
26.78,-48,368,-960,43.8,96.3,1.5,120,45,24
26.80,-32,352,-944,43.5,95.85,1.95,121,67,24
26.83,-32,352,-960,44.1,94.95,2.1,123,82,24
26.85,-32,368,-960,44.1,95.25,1.35,120,75,24
26.88,-32,352,-960,43.5,95.7,2.1,124,82,24
26.90,-32,352,-944,44.85,94.95,1.2,120,86,24
26.94,-32,384,-960,42.9,95.7,2.1,120,48,24
26.97,-32,368,-960,43.35,95.4,1.8,120,33,24
26.99,-32,368,-960,44.1,95.1,1.5,120,41,24
27.02,-32,384,-944,44.4,95.55,1.95,120,37,24
27.05,-16,352,-960,43.95,94.95,1.2,119,63,24
27.07,-32,352,-944,44.85,95.85,1.35,120,86,24
27.12,-32,368,-944,42.6,95.4,2.1,119,75,24
27.14,-32,368,-944,43.95,96.3,2.4,120,71,24
27.16,0,368,-944,45,95.25,1.95,120,71,24
27.19,-32,368,-944,44.55,95.1,0.9,119,56,24
27.21,-32,368,-960,44.7,95.7,1.8,120,60,24
27.26,-16,384,-944,44.1,95.25,0.75,119,78,24
27.28,-32,368,-944,43.95,95.7,1.8,118,75,24
27.31,-32,368,-960,43.65,95.55,1.2,119,78,24
27.33,-48,352,-944,43.95,95.1,2.1,118,75,24
27.36,-16,368,-944,43.65,95.4,2.25,119,78,24
27.38,-48,368,-960,44.7,95.7,1.95,123,97,24
27.42,-32,384,-944,43.2,95.85,1.65,120,93,24
27.45,-16,352,-944,44.1,96.15,1.8,120,78,24
27.48,-48,368,-960,44.55,95.55,1.95,120,67,24
27.50,-32,352,-944,43.65,95.55,2.4,119,82,24
27.52,-48,352,-944,44.4,96.3,2.25,120,93,24
27.55,-32,368,-960,44.25,96,2.4,119,67,24
27.60,-48,368,-960,43.8,96.6,1.8,119,63,24
27.62,-48,336,-928,44.4,94.05,2.85,120,93,24
27.65,-16,368,-960,44.25,95.25,2.1,120,86,24
27.67,-32,352,-960,43.2,96.6,1.95,120,71,24
27.70,-32,352,-944,43.65,95.1,1.5,121,56,24
27.72,-32,352,-944,43.5,95.4,2.1,120,78,24
27.77,-32,368,-944,43.5,96.15,1.35,120,63,24
27.80,-48,352,-944,43.35,95.55,1.8,121,71,24
27.82,-48,352,-944,44.1,95.7,2.55,121,33,24
27.84,-16,368,-944,43.95,95.7,1.2,120,18,24
27.87,-32,368,-960,43.8,95.85,1.95,121,30,24
27.90,-48,368,-944,43.8,95.7,1.05,121,30,24
27.94,-32,384,-960,43.5,95.4,1.95,120,33,24
27.96,-32,352,-960,43.5,95.55,1.95,120,33,24
27.99,-32,352,-944,43.95,95.55,1.95,120,18,24
28.02,-32,368,-960,43.8,95.55,1.5,120,22,24
28.04,-32,368,-944,44.1,94.5,2.1,121,30,24
28.08,-32,352,-976,43.65,95.85,1.8,126,37,24
28.11,-48,368,-960,44.25,95.7,2.25,125,45,24
28.13,-32,368,-960,44.25,95.4,1.05,125,52,24
28.16,-32,336,-960,42.6,95.7,2.1,125,63,24
28.18,-48,368,-960,44.55,95.1,2.25,121,48,24
28.20,-32,368,-960,42.9,95.7,2.1,121,48,24
28.25,-48,368,-960,44.4,95.7,1.95,121,52,24
28.27,-32,352,-960,44.1,95.1,1.8,121,52,24
28.30,-48,368,-960,43.05,94.95,1.95,121,45,24
28.32,-16,352,-944,43.8,95.4,1.05,120,45,24
28.35,-32,368,-944,43.95,96.3,1.65,120,37,24
28.37,-48,352,-960,43.35,94.95,1.35,120,26,24
28.42,-32,352,-960,43.2,96.45,0.75,120,26,24
28.44,-32,352,-960,43.05,95.7,2.1,121,37,24
28.46,-32,352,-944,43.65,95.4,2.4,120,45,24
28.49,-64,352,-960,44.1,95.25,2.25,121,45,24
28.51,-48,368,-960,44.55,95.7,1.95,120,45,24
28.54,-16,352,-960,43.2,95.1,2.1,121,33,24
28.75,-48,368,-976,44.25,95.7,1.8,120,33,24
28.78,-32,352,-944,43.95,95.1,1.8,120,15,24
